1 Bar Leather,2 Bar Leather,3 Bar Leather,4 Bar Leather,1 Bar Felt,2 Bar Felt,3 Bar Felt,4 Bar Felt
1.617,2.738,4.433,0.726,1.352,-0.008,4.016,4.294
1.662,2.778,4.504,0.897,1.28,-0.01,3.985,4.301
1.71,2.805,4.537,1.055,1.225,-0.011,3.95,4.316
1.739,2.809,4.549,1.21,1.197,-0.01,3.919,4.349
1.736,2.783,4.564,1.335,1.213,-0.011,3.907,4.385
1.706,2.743,4.566,1.45,1.251,-0.011,3.904,4.418
1.663,2.699,4.547,1.555,1.304,-0.013,3.909,4.457
1.62,2.661,4.555,1.646,1.357,-0.011,3.911,4.523
1.603,2.65,4.621,1.722,1.399,-0.01,3.918,4.588
1.615,2.664,4.734,1.811,1.418,-0.008,3.937,4.648
1.631,2.674,4.808,1.908,1.411,-0.01,3.945,4.7
1.572,2.668,4.801,2.004,1.376,-0.008,3.937,4.729
1.516,2.654,4.738,2.102,1.32,-0.008,3.921,4.743
1.5,2.613,4.679,2.221,1.251,-0.011,3.923,4.733
1.474,2.542,4.655,2.337,1.208,-0.013,3.942,4.715
1.44,2.47,4.66,2.456,1.21,-0.008,3.973,4.724
1.364,2.442,4.695,2.59,1.227,-0.011,3.995,4.76
1.282,2.449,4.767,2.729,1.254,-0.011,3.997,4.808
1.228,2.484,4.863,2.889,1.29,-0.01,3.981,4.868
1.22,2.527,4.905,3.063,1.318,-0.01,3.952,4.934
1.227,2.564,4.839,3.226,1.326,-0.011,3.933,4.994
1.223,2.588,4.703,3.412,1.316,-0.008,3.914,5.049
1.237,2.588,4.585,3.613,1.29,-0.011,3.894,5.094
1.277,2.566,4.511,3.813,1.277,-0.01,3.876,5.138
1.297,2.532,4.442,4.035,1.277,-0.01,3.864,5.214
1.273,2.516,4.382,4.267,1.283,-0.011,3.849,5.307
1.254,2.509,4.322,4.497,1.295,-0.01,3.835,5.391
1.275,2.518,4.243,4.71,1.297,-0.011,3.816,5.451
1.302,2.523,4.165,4.905,1.294,-0.01,3.789,5.491
1.292,2.521,4.084,5.059,1.282,-0.008,3.758,5.508
1.256,2.528,4.026,5.187,1.259,-0.008,3.749,5.503
1.259,2.532,4.048,5.312,1.247,-0.006,3.756,5.467
1.271,2.537,4.127,5.438,1.24,-0.01,3.763,5.427
1.29,2.539,4.212,5.561,1.24,-0.01,3.744,5.383
1.323,2.527,4.249,5.687,1.244,-0.008,3.715,5.35
1.356,2.508,4.218,5.79,1.258,-0.006,3.679,5.303
1.371,2.484,4.138,5.878,1.28,-0.003,3.656,5.247
1.363,2.477,4.041,5.974,1.313,-0.004,3.655,5.192
1.373,2.501,3.962,6.069,1.347,-0.003,3.663,5.152
1.369,2.545,3.921,6.134,1.378,-0.0009672,3.67,5.135
1.364,2.583,3.911,6.129,1.404,-0.0009672,3.679,5.116
1.383,2.619,3.919,6.081,1.43,-0.0009672,3.675,5.104
1.411,2.647,3.928,6.007,1.438,0.004,3.663,5.107
1.409,2.654,3.923,5.931,1.442,0.009,3.648,5.113
1.388,2.619,3.912,5.867,1.438,0.023,3.627,5.101
1.368,2.571,3.916,5.836,1.426,0.044,3.605,5.08
1.366,2.545,3.945,5.84,1.409,0.075,3.587,5.04
1.387,2.545,3.974,5.869,1.393,0.125,3.577,4.996
1.419,2.549,3.971,5.91,1.387,0.198,3.562,4.951
1.43,2.544,3.949,5.95,1.378,0.293,3.543,4.898
1.428,2.532,3.938,5.988,1.366,0.388,3.507,4.836
1.436,2.52,3.919,6.022,1.354,0.493,3.464,4.767
1.438,2.515,3.885,6.062,1.344,0.601,3.45,4.722
1.428,2.525,3.842,6.108,1.344,0.701,3.453,4.698
1.409,2.542,3.797,6.153,1.337,0.768,3.446,4.688
1.387,2.558,3.778,6.186,1.321,0.83,3.421,4.703
1.387,2.552,3.797,6.208,1.308,0.902,3.376,4.736
1.406,2.558,3.851,6.21,1.313,1,3.297,4.755
1.431,2.559,3.902,6.182,1.328,1.099,3.211,4.755
1.442,2.545,3.923,6.13,1.332,1.21,3.159,4.738
1.43,2.513,3.916,6.053,1.337,1.323,3.135,4.722
1.431,2.492,3.887,5.96,1.349,1.461,3.132,4.709
1.436,2.472,3.856,5.867,1.345,1.579,3.14,4.695
1.452,2.46,3.845,5.773,1.332,1.662,3.147,4.674
1.491,2.468,3.854,5.69,1.316,1.729,3.139,4.652
1.533,2.478,3.864,5.628,1.311,1.794,3.109,4.621
1.54,2.478,3.894,5.591,1.304,1.868,3.066,4.592
1.521,2.484,3.926,5.565,1.309,1.988,3.042,4.576
1.498,2.465,3.949,5.53,1.316,2.135,3.056,4.564
1.481,2.435,3.954,5.494,1.313,2.277,3.096,4.543
1.474,2.434,3.93,5.448,1.309,2.401,3.127,4.509
1.478,2.444,3.909,5.396,1.314,2.477,3.125,4.471
1.485,2.456,3.918,5.362,1.325,2.515,3.101,4.442
1.497,2.466,3.943,5.34,1.318,2.556,3.07,4.423
1.505,2.475,3.966,5.346,1.292,2.592,3.053,4.408
1.507,2.506,3.974,5.369,1.259,2.582,3.058,4.397
1.517,2.539,3.966,5.413,1.246,2.537,3.092,4.387
1.529,2.545,3.943,5.462,1.246,2.485,3.132,4.365
1.545,2.54,3.912,5.508,1.252,2.478,3.171,4.334
1.576,2.533,3.883,5.537,1.273,2.525,3.204,4.311
1.605,2.518,3.876,5.539,1.297,2.606,3.22,4.298
1.6,2.513,3.888,5.518,1.302,2.674,3.228,4.304
1.589,2.525,3.907,5.481,1.283,2.724,3.252,4.325
1.571,2.532,3.923,5.419,1.247,2.783,3.307,4.361
1.55,2.53,3.943,5.357,1.211,2.86,3.374,4.418
1.567,2.521,3.937,5.3,1.187,2.92,3.405,4.487
